pca_dim,nlist,nprobe,k,label,precision_at_k_macro,recall_at_k_macro
512,64,4,20,6,1.0,0.006609385327164575
512,64,8,20,0,1.0,0.006605019815059446
512,64,8,20,2,1.0,0.0066688896298766264
512,64,8,20,3,1.0,0.006715916722632638
512,64,8,20,4,1.0,0.006736274840013476
512,64,8,20,6,1.0,0.006609385327164575
512,64,16,20,0,1.0,0.006605019815059446
512,64,16,20,2,1.0,0.0066688896298766264
512,64,16,20,3,1.0,0.006715916722632638
512,64,16,20,4,1.0,0.006736274840013476
512,64,16,20,6,1.0,0.006609385327164575
512,64,32,20,0,1.0,0.006605019815059446
512,64,32,20,2,1.0,0.0066688896298766264
512,64,32,20,3,1.0,0.006715916722632638
512,64,32,20,4,1.0,0.006736274840013476
512,64,32,20,6,1.0,0.006609385327164575
512,128,1,20,0,1.0,0.006605019815059446
512,128,1,20,2,1.0,0.0066688896298766264
512,128,1,20,3,1.0,0.006715916722632638
512,128,1,20,4,1.0,0.006736274840013476
512,128,1,20,6,1.0,0.006609385327164575
512,128,4,20,0,1.0,0.006605019815059446
512,128,4,20,2,1.0,0.0066688896298766264
512,128,4,20,3,1.0,0.006715916722632638
512,128,4,20,4,1.0,0.006736274840013476
512,128,4,20,6,1.0,0.006609385327164575
512,128,8,20,0,1.0,0.006605019815059446
512,128,8,20,2,1.0,0.0066688896298766264
512,128,8,20,3,1.0,0.006715916722632638
512,128,8,20,4,1.0,0.006736274840013476
512,128,8,20,6,1.0,0.006609385327164575
512,128,16,20,0,1.0,0.006605019815059446
512,128,16,20,2,1.0,0.0066688896298766264
512,128,16,20,3,1.0,0.006715916722632638
512,128,16,20,4,1.0,0.006736274840013476
512,128,16,20,6,1.0,0.006609385327164575
512,128,32,20,0,1.0,0.006605019815059446
512,128,32,20,2,1.0,0.0066688896298766264
512,128,32,20,3,1.0,0.006715916722632638
512,128,32,20,4,1.0,0.006736274840013476
512,128,32,20,6,1.0,0.006609385327164575
512,256,1,20,0,0.9998327759197324,0.006603915296695724
512,256,1,20,2,1.0,0.0066688896298766264
512,256,1,20,3,1.0,0.006715916722632638
512,256,1,20,4,1.0,0.006736274840013476
512,256,1,20,6,1.0,0.006609385327164575
512,256,4,20,0,1.0,0.006605019815059446
512,256,4,20,2,1.0,0.0066688896298766264
512,256,4,20,3,1.0,0.006715916722632638
512,256,4,20,4,1.0,0.006736274840013476
512,256,4,20,6,1.0,0.006609385327164575
512,256,8,20,0,1.0,0.006605019815059446
512,256,8,20,2,1.0,0.0066688896298766264
512,256,8,20,3,1.0,0.006715916722632638
512,256,8,20,4,1.0,0.006736274840013476
512,256,8,20,6,1.0,0.006609385327164575
512,256,16,20,0,1.0,0.006605019815059446
512,256,16,20,2,1.0,0.0066688896298766264
512,256,16,20,3,1.0,0.006715916722632638
512,256,16,20,4,1.0,0.006736274840013476
512,256,16,20,6,1.0,0.006609385327164575
512,256,32,20,0,1.0,0.006605019815059446
512,256,32,20,2,1.0,0.0066688896298766264
512,256,32,20,3,1.0,0.006715916722632638
512,256,32,20,4,1.0,0.006736274840013476
512,256,32,20,6,1.0,0.006609385327164575
1024,32,1,20,0,1.0,0.006605019815059446
1024,32,1,20,2,1.0,0.0066688896298766264
1024,32,1,20,3,1.0,0.006715916722632638
1024,32,1,20,4,1.0,0.006736274840013476
1024,32,1,20,6,1.0,0.006609385327164575
1024,32,4,20,0,1.0,0.006605019815059446
1024,32,4,20,2,1.0,0.0066688896298766264
1024,32,4,20,3,1.0,0.006715916722632638
1024,32,4,20,4,1.0,0.006736274840013476
1024,32,4,20,6,1.0,0.006609385327164575
1024,32,8,20,0,1.0,0.006605019815059446
1024,32,8,20,2,1.0,0.0066688896298766264
1024,32,8,20,3,1.0,0.006715916722632638
1024,32,8,20,4,1.0,0.006736274840013476
1024,32,8,20,6,1.0,0.006609385327164575
1024,32,16,20,0,1.0,0.006605019815059446
1024,32,16,20,2,1.0,0.0066688896298766264
1024,32,16,20,3,1.0,0.006715916722632638
1024,32,16,20,4,1.0,0.006736274840013476
1024,32,16,20,6,1.0,0.006609385327164575
1024,32,32,20,0,1.0,0.006605019815059446
1024,32,32,20,2,1.0,0.0066688896298766264
1024,32,32,20,3,1.0,0.006715916722632638
1024,32,32,20,4,1.0,0.006736274840013476
1024,32,32,20,6,1.0,0.006609385327164575
1024,64,1,20,0,1.0,0.006605019815059446
1024,64,1,20,2,1.0,0.0066688896298766264
1024,64,1,20,3,1.0,0.006715916722632638
1024,64,1,20,4,1.0,0.006736274840013476
1024,64,1,20,6,1.0,0.006609385327164575
1024,64,4,20,0,1.0,0.006605019815059446
1024,64,4,20,2,1.0,0.0066688896298766264
1024,64,4,20,3,1.0,0.006715916722632638
1024,64,4,20,4,1.0,0.006736274840013476
1024,64,4,20,6,1.0,0.006609385327164575
1024,64,8,20,0,1.0,0.006605019815059446
1024,64,8,20,2,1.0,0.0066688896298766264
1024,64,8,20,3,1.0,0.006715916722632638
1024,64,8,20,4,1.0,0.006736274840013476
1024,64,8,20,6,1.0,0.006609385327164575
1024,64,16,20,0,1.0,0.006605019815059446
1024,64,16,20,2,1.0,0.0066688896298766264
1024,64,16,20,3,1.0,0.006715916722632638
1024,64,16,20,4,1.0,0.006736274840013476
1024,64,16,20,6,1.0,0.006609385327164575
1024,64,32,20,0,1.0,0.006605019815059446
1024,64,32,20,2,1.0,0.0066688896298766264
1024,64,32,20,3,1.0,0.006715916722632638
1024,64,32,20,4,1.0,0.006736274840013476
1024,64,32,20,6,1.0,0.006609385327164575
1024,128,1,20,0,1.0,0.006605019815059446
1024,128,1,20,2,1.0,0.0066688896298766264
1024,128,1,20,3,1.0,0.006715916722632638
1024,128,1,20,4,1.0,0.006736274840013476
1024,128,1,20,6,1.0,0.006609385327164575
1024,128,4,20,0,1.0,0.006605019815059446
1024,128,4,20,2,1.0,0.0066688896298766264
1024,128,4,20,3,1.0,0.006715916722632638
1024,128,4,20,4,1.0,0.006736274840013476
1024,128,4,20,6,1.0,0.006609385327164575
1024,128,8,20,0,1.0,0.006605019815059446
1024,128,8,20,2,1.0,0.0066688896298766264
1024,128,8,20,3,1.0,0.006715916722632638
1024,128,8,20,4,1.0,0.006736274840013476
1024,128,8,20,6,1.0,0.006609385327164575
1024,128,16,20,0,1.0,0.006605019815059446
1024,128,16,20,2,1.0,0.0066688896298766264
1024,128,16,20,3,1.0,0.006715916722632638
1024,128,16,20,4,1.0,0.006736274840013476
1024,128,16,20,6,1.0,0.006609385327164575
1024,128,32,20,0,1.0,0.006605019815059446
1024,128,32,20,2,1.0,0.0066688896298766264
1024,128,32,20,3,1.0,0.006715916722632638
1024,128,32,20,4,1.0,0.006736274840013476
1024,128,32,20,6,1.0,0.006609385327164575
1024,256,1,20,0,1.0,0.006605019815059446
1024,256,1,20,2,1.0,0.0066688896298766264
1024,256,1,20,3,1.0,0.006715916722632638
1024,256,1,20,4,1.0,0.006736274840013476
1024,256,1,20,6,1.0,0.006609385327164575
1024,256,4,20,0,1.0,0.006605019815059446
1024,256,4,20,2,1.0,0.0066688896298766264
1024,256,4,20,3,1.0,0.006715916722632638
1024,256,4,20,4,1.0,0.006736274840013476
1024,256,4,20,6,1.0,0.006609385327164575
1024,256,8,20,0,1.0,0.006605019815059446
1024,256,8,20,2,1.0,0.0066688896298766264
1024,256,8,20,3,1.0,0.006715916722632638
